pub_date,authors,title,venue,url_slug,paper_url,tag,code_url,extra_links,doi
2021-04-01,"Lijun Zhang, Hui Guan, Yufei Ding, Xipeng Shen, Hamid Krim",Reuse-Centric K-Means Configuration,"Information Systems, 2021",2021kmeans,,InformationSystems'21,,,
2021-01-01,"Zifan Nan, Hui Guan, Xipeng Shen, and Chunhua Liao",Deep NLP-Based Co-Evolvement for Synthesizing Code Analysis from Natural Language,"In The ACM SIGPLAN 2021 International Conference on Compiler Construction, 2021",2021cc,http://guanh01.github.io/files/2021cc.pdf,CC'21,,,
2020-11-01,"Zifan Nan, Hui Guan, Xipeng Shen",HISyn: Human Learning-Inspired Natural Language Programming,"In The ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering, Sacramento, California, United States, November 2020. (Acceptance rate: 101/360=28%)",2020fse,http://guanh01.github.io/files/2020hisyn.pdf,FSE'20,,,
2020-11-01,"Hui Guan, Xipeng Shen, and Hamid Krim",An Automatic Synthesizer of Advising Tools for High Performance Computing,"In IEEE Transactions on Parallel and Distributed Systems (TPDS), 2020",2020tpds,http://guanh01.github.io/files/2020tpds.pdf,TPDS'20,,,
2020-03-04,"Hui Guan, Laxmikant Kishor Mokadam, Xipeng Shen, Seung-Hwan Lim, Robert Patton",FLEET: Flexible Efficient Ensemble Training for Heterogeneous Deep Neural Networks,MLSys'20. (Acceptance rate: 20.0% (34/170)),2020mlsys,http://guanh01.github.io/files/2020mlsys.pdf,MLSys'20,,,
2019-12-09,"Hui Guan, Lin Ning, Zhen Lin, Xipeng Shen, Huiyang Zhou, and Seung-Hwan Lim",In-Place Zero-Space Memory Protection for CNN,"In Advances in Neural Information Processing Systems, pp. 5735-5744. 2019. (Acceptance rate: 21.2% (1428/6743))",2019nips,https://papers.nips.cc/paper/8810-in-place-zero-space-memory-protection-for-cnn.pdf,NeurIPS'19,,,
2019-12-09,"Hui Guan, Andrey Malevich, Jiyan Yang,  Jongsoo Park, and Hector Yuen",Post-Training 4-bit Quantization on Embedding Tables,"MLSys Workshop on Systems for ML @ NeurIPS, 2019",2019fb,http://guanh01.github.io/files/2019fb.pdf,MLSys@NeurIPS'19,,,
2019-06-11,"Hui Guan, Xipeng Shen, and Seung-Hwan Lim",Wootz: a Compiler-based Framework for Fast CNN Pruning via Composability,"In Proceedings of the 40th ACM SIGPLAN Conference on Programming Language Design and Implementation, pp. 717-730. ACM, 2019. (Acceptance rate: 27.7% (76/274))",2019pldi,http://guanh01.github.io/files/2019pldi.pdf,PLDI'19,,,
2019-06-01,"Lin Ning, Hui Guan, and Xipeng Shen",Adaptive Deep Reuse: Accelerating CNN Training on the Fly,"In 2019 IEEE 35th International Conference on Data Engineering (ICDE), pp. 1538-1549. IEEE, 2019. (Acceptance rate: 18%)",2019icde,http://guanh01.github.io/files/2019icde.pdf,ICDE'19,,,
2018-11-01,"Randall Pittman, Hui Guan, Xipeng Shen, Seung-Hwan Lim, and Robert M. Patton",Exploring Flexible Communications for Streamlining DNN Ensemble Training Pipelines,"In Proceedings of the International Conference for High Performance Computing, Networking, Storage, and Analysis, p. 64. IEEE, 2018. (Acceptance rate: 23%)",2018sc,http://guanh01.github.io/files/2018sc.pdf,SC'18,,,
2018-09-01,"Hui Guan, Yufei Ding, Xipeng Shen, and Hamid Krim",Reuse-Centric K-Means Configuration,"In 2018 IEEE 34th International Conference on Data Engineering (ICDE), pp. 1224-1227. IEEE, 2018. (short paper) (Acceptance rate: 23%)",2018icde,http://guanh01.github.io/files/2018icde.pdf,ICDE'18,,,
2018-02-01,"Yufei Ding, Lin Ning, Hui Guan, Xipeng Shen, Madanlal Musuvathi, Todd Mytkowicz",TOP: A Compiler-Based Framework for Optimizing Machine Learning Algorithms through Generalized Triangle Inequality,"SysML, Feb 16th, 2018, Stanford University, 2018",2018top,http://guanh01.github.io/files/2018top.pdf,SysML'18,,,
2017-11-14,"Hui Guan, Xipeng Shen, and Hamid Krim",Egeria: a Framework for Automatic Synthesis of HPC Advising Tools through Multi-Layered Natural Language Processing,"In Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis, p. 10. ACM, 2017. (Acceptance rate: 18% (61/327))",2017sc,http://guanh01.github.io/files/2017sc.pdf,SC'17,,,
2017-01-01,"Yufei Ding, Lin Ning, Hui Guan, and Xipeng Shen",Generalizations of the Theory and Deployment of Triangular Inequality for Compiler-Based Strength Reduction,"In Proceedings of the 38th ACM SIGPLAN Conference on Programming Language Design and Implementation, pp. 33-48. ACM, 2017. (Acceptance rate: 15% (47/322))",2017pldi,http://guanh01.github.io/files/2017pldi.pdf,PLDI'17,,,
2016-06-01,"Hui Guan, Wen Tang, Hamid Krim, James Keiser, Andrew Rindos, and Radmila Sazdanovic",A topological collapse for document summarization,"In 2016 IEEE 17th International Workshop on Signal Processing Advances in Wireless Communications (SPAWC), pp. 1-5. IEEE, 2016",spawc,http://guanh01.github.io/files/2016spawc.pdf,SPAWC'16,,,
